127.0.0.1 - - [02/Mar/2024:15:17:02 +0900] "GET / HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:28 +0900] "GET /admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:28 +0900] "GET /admin/ HTTP/1.1" 500 2135
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:28 +0900] "GET /admin/css/sticky-footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:28 +0900] "GET /favicon.ico HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "POST /admin/MainController HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "GET /admin/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "GET /admin/img/inquiry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "GET /admin/img/meet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "GET /admin/img/backup.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "GET /admin/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:33 +0900] "GET /admin/img/insert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:15:17:38 +0900] "POST /admin/MenuController HTTP/1.1" 200 11846
