127.0.0.1 - - [04/Jan/2024:16:02:23 +0900] "GET / HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:02:36 +0900] "GET /admin/ HTTP/1.1" 500 1458
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:02:36 +0900] "GET /admin/ HTTP/1.1" 500 1458
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:02:36 +0900] "GET /favicon.ico HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:02:51 +0900] "POST /admin/MainController HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:02:51 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:11 +0900] "POST /admin/MenuController HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:11 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:12 +0900] "POST /admin/MenuController HTTP/1.1" 200 33285
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:12 +0900] "GET /admin/js/package/dist/chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:12 +0900] "GET /admin/js/radarChart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:18 +0900] "POST /admin/MenuController HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:20 +0900] "POST /admin/MenuController HTTP/1.1" 200 33285
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:20 +0900] "POST /admin/MenuController HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:21 +0900] "POST /admin/MenuController HTTP/1.1" 200 33285
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:24 +0900] "POST /admin/MenuController HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:29 +0900] "POST /admin/MenuController HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:30 +0900] "POST /admin/MenuController HTTP/1.1" 200 33285
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:33 +0900] "POST /admin/MenuController HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:34 +0900] "POST /admin/MenuController HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:34 +0900] "POST /admin/MenuController HTTP/1.1" 200 33285
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:37 +0900] "POST /admin/MenuController HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:03:48 +0900] "POST /admin/MenuController HTTP/1.1" 200 33285
