127.0.0.1 - - [20/Jan/2024:12:49:59 +0900] "GET / HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:10:48 +0900] "GET /admin/ HTTP/1.1" 500 1974
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:10:48 +0900] "GET /admin/ HTTP/1.1" 500 1974
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:10:48 +0900] "GET /admin/css/sticky-footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:10:53 +0900] "POST /admin/MainController HTTP/1.1" 200 7668
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:10:54 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:11:07 +0900] "POST /admin/MenuController HTTP/1.1" 200 7668
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:11:07 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:11:09 +0900] "POST /admin/MenuController HTTP/1.1" 200 34500
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:11:09 +0900] "GET /admin/js/radarChart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:11:09 +0900] "GET /admin/js/package/dist/chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:14:25 +0900] "POST /admin/MenuController HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:14:34 +0900] "POST /admin/MenuController HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:14:34 +0900] "POST /admin/MenuController HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [20/Jan/2024:13:14:34 +0900] "POST /admin/MenuController HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:00 +0900] "POST /admin/MenuController HTTP/1.1" 500 1152
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:04 +0900] "GET /admin/ HTTP/1.1" 500 1974
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:04 +0900] "GET /admin/ HTTP/1.1" 500 1974
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:09 +0900] "POST /admin/MainController HTTP/1.1" 200 7668
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:09 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:12 +0900] "POST /admin/MenuController HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:12 +0900] "POST /admin/MenuController HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:13 +0900] "POST /admin/MenuController HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:14 +0900] "POST /admin/MenuController HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:15 +0900] "POST /admin/MenuController HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:16 +0900] "POST /admin/MenuController HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:23 +0900] "POST /admin/MenuController HTTP/1.1" 200 34500
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:25 +0900] "POST /admin/MenuController HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:30 +0900] "POST /admin/MenuController HTTP/1.1" 200 34500
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:31 +0900] "POST /admin/MenuController HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:45 +0900] "POST /admin/MenuController HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:47 +0900] "POST /admin/MenuController HTTP/1.1" 200 7668
0:0:0:0:0:0:0:1 - - [20/Jan/2024:14:36:47 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
